0,100
1,33
2,33
3,220
4,220
5,100
6,510
7,510
8,270
9,270
10,120
11,120
12,150
13,150
14,680
15,680
16,390
17,390
18,180
19,180
20,22
21,22
22,47
23,47
24,68
25,68
26,51
27,51
28,51
29,82
30,82
31,10
32,10
33,1000
34,1000
35,6800
36,6800
37,2200
38,2200
39,3000
40,3000
41,4700
42,4700
43,3900
44,3900
45,4700
46,4700
47,1800
48,1800
49,8200
50,8200
51,2700
52,2700
53,5100
54,5100
55,1200
56,1200
57,5600
58,5600
59,3300
60,3300
61,1500
62,1500
63,33000
64,33000
65,12000
66,12000
67,22000
68,22000
69,82000
70,82000
71,10000
72,10000
73,47000
74,47000
75,56000
76,56000
77,51000
78,51000
79,27000
80,27000
81,15000
82,15000
83,39000
84,39000
85,33000
86,33000
87,68000
88,68000
89,22000
90,22000
91,18000
92,18000
93,330000
94,330000
95,470000
96,470000
97,100000
98,100000
99,120000
100,120000
101,150000
102,150000
103,270000
104,270000
105,180000
106,180000
107,220000
108,220000
109,1000000
110,1000000
111,1000000
112,1000000
113,2200000
114,2200000
115,1500000
116,1500000
117,4700000
118,4700000
119,3300000
120,3300000
121,10000000
122,10000000
123,5.1
124,1
125,1
126,5.1
127,2.2
128,2.2
